borough,CT,NTA
Brooklyn,3116800,BK82
Brooklyn,3117000,BK82
Brooklyn,3119200,BK82
Brooklyn,3119400,BK82
Brooklyn,3119600,BK82
Brooklyn,3119800,BK82
Brooklyn,3120000,BK82
Brooklyn,3120800,BK82
Brooklyn,3121000,BK82
Brooklyn,3121400,BK82
Brooklyn,3122000,BK82
Brooklyn,3112200,BK85
Brooklyn,3112600,BK85
Brooklyn,3112800,BK85
Brooklyn,3113000,BK85
Brooklyn,3113200,BK85
Brooklyn,3113400,BK85
Brooklyn,3114400,BK85
Brooklyn,3115600,BK85
Brooklyn,3115800,BK85
Brooklyn,3044900,BK90
Brooklyn,3047700,BK90
Brooklyn,3048100,BK90
Brooklyn,3049100,BK90
Brooklyn,3049500,BK90
Brooklyn,3049700,BK90
Brooklyn,3050100,BK90
Brooklyn,3050300,BK90
Brooklyn,3050500,BK90
Brooklyn,3051100,BK90
Brooklyn,3079000,BK95
Brooklyn,3079200,BK95
Brooklyn,3079400,BK95
Brooklyn,3081800,BK95
Brooklyn,3082400,BK95
Brooklyn,3082600,BK95
Brooklyn,3082800,BK95
Brooklyn,3046000,BK42
Brooklyn,3046201,BK42
Brooklyn,3048000,BK42
Brooklyn,3048200,BK42
Brooklyn,3050600,BK42
Brooklyn,3050801,BK42
Brooklyn,3050803,BK42
Brooklyn,3050804,BK42
Brooklyn,3051001,BK42
Brooklyn,3051002,BK42
Brooklyn,3051200,BK42
Brooklyn,3051400,BK42
Brooklyn,3051601,BK42
Brooklyn,3051602,BK42
Brooklyn,3051800,BK42
Brooklyn,3052000,BK42
Brooklyn,3052600,BK42
Brooklyn,3052800,BK42
Brooklyn,3076400,BK42
Brooklyn,3076600,BK42
Brooklyn,3077000,BK42
Brooklyn,3077200,BK42
Brooklyn,3077400,BK42
Brooklyn,3078600,BK42
Brooklyn,3078800,BK42
Brooklyn,3152200,BK42
Brooklyn,3065000,BK58
Brooklyn,3067200,BK58
Brooklyn,3067400,BK58
Brooklyn,3067600,BK58
Brooklyn,3067800,BK58
Brooklyn,3068000,BK58
Brooklyn,3068200,BK58
Brooklyn,3068800,BK58
Brooklyn,3069000,BK58
Brooklyn,3069200,BK58
Brooklyn,3072000,BK58
Brooklyn,3072200,BK58
Brooklyn,3072400,BK58
Brooklyn,3072600,BK58
Brooklyn,3072800,BK58
Brooklyn,3073000,BK58
Brooklyn,3073200,BK58
Brooklyn,3073400,BK58
Brooklyn,3073600,BK58
Brooklyn,3073800,BK58
Brooklyn,3074000,BK58
